Id,Ideology,Income,Interested,Looking,Name,Occupation,Party,Relationship,Religion,Birthday,Education,Ethnicity,Gender
FranticSemantics,Moderate,Other,?,?,?,Student,Democratic Party,?,Christian - Pentecostal,?,?,Latino,?
ArsanyMalak,?,?,?,?,?,?,?,?,?,?,?,?,?
iRespectAllOpinions,?,?,?,?,?,?,?,?,?,?,?,?,?
krazymonica101,?,?,?,?,?,?,?,?,?,?,?,?,?
jzonda415,Conservative,"Less than $25,000",?,Friendship,?,?,Republican Party,In a Relationship,Christian - Protestant,?,Some College,White,Female
Jason83,?,?,?,?,?,?,?,?,?,?,?,?,?
pizza8024,?,?,?,?,?,?,?,?,?,?,?,?,Male
SecularMaverick,Libertarian,"Less than $25,000",in Women,Networking,?,Self-Employed,Republican Party,Single,Atheist,?,High School,White,Male
izzybeth123,?,?,?,?,?,?,?,?,?,?,?,?,?
angelo.petrillo,Anarchist,?,in Women,?,?,Student,?,Single,Atheist,?,High School,White,?
RationalZack,Communist,Other,?,?,?,Other,Communist Party,?,Atheist,?,Other,White,Male
Twixie,Undecided,?,in Men,Friendship,?,?,Undecided,In a Relationship,Neo-Paganism,?,High School,White,?
Secrios,Libertarian,"Less than $25,000",?,?,?,Artist,Libertarian Party,?,Agnostic,?,?,White,Male
Umar99,?,?,?,?,?,Student,?,?,Muslim - Sunni,?,?,Asian,?
gina.naylor18,?,?,?,?,?,?,?,?,?,?,?,?,Female
ravenracen,?,?,?,?,?,?,?,?,?,?,?,?,?
Eglaen1,?,?,?,?,?,?,?,?,?,?,?,?,?
Libertarian85,?,?,?,?,?,?,?,?,?,?,?,?,?
phantom,?,?,?,?,?,?,?,?,Agnostic,1994,Some College,White,Male
learnerchris,?,?,?,?,?,?,?,?,?,?,?,?,?
TheRealSpassky101,Green,?,?,"Friendship, Networking",?,Student,Green Party,In a Relationship,Atheist,?,?,Latino,Male
eliza9872,?,?,?,?,?,?,?,?,?,?,?,?,?
Judindog,?,?,?,?,?,?,?,?,?,?,?,?,?
migont,?,?,?,?,?,?,?,?,?,?,?,?,?
HeroOfHope,?,?,in Women,?,?,?,?,?,?,?,?,?,?
Swimwithcats,Progressive,"Less than $25,000",in Women,Networking,?,Student,Independent,In a Relationship,Atheist,?,Some College,Other,?
TripleDeker,?,?,?,?,?,?,?,?,?,?,?,?,?
Politicallion,Communist,?,?,?,?,?,?,?,?,?,?,?,Male
Grace_loves_debate,Liberal,?,in Men,Friendship,?,?,?,?,?,?,High School,?,Female
TheLiberalConservative,?,?,?,?,?,?,?,?,?,?,?,?,?
Donderpants,?,?,?,?,?,?,?,?,?,?,?,?,?
SM29,Libertarian,?,?,?,?,?,Libertarian Party,?,Christian - Baptist,?,?,White,?
Freedomintheusa,?,?,?,?,?,?,?,?,?,?,?,?,?
lifeshouldbefair,?,?,?,?,?,?,?,?,?,?,?,?,?
rosa42261,?,?,?,?,?,?,?,?,?,?,?,?,?
Dash205,?,?,?,?,?,?,?,?,?,?,?,?,Male
jt_ho,?,?,?,?,?,?,?,?,?,?,?,?,?
kai.miller,?,?,?,?,?,?,?,?,?,?,?,?,?
lit.wakefield,Apathetic,?,?,?,?,?,Undecided,?,Atheist,?,?,White,Male
Josh3239,Libertarian,?,in Women,?,?,?,?,?,?,?,?,?,Male
tricia787,?,?,?,?,?,?,?,?,?,?,?,?,?
LetItBeHistory,?,?,?,?,?,?,?,?,?,?,?,?,?
Emo_massacre,?,?,?,?,?,?,?,?,?,?,?,?,?
1999charles,?,?,?,?,?,?,?,?,?,?,?,?,?
Crysis482,?,?,?,?,?,?,?,?,?,?,?,?,?
TheGIngerNinja4652,?,?,?,?,?,?,?,?,?,?,?,?,?
k8lnkitchens,?,?,?,?,?,?,?,?,?,?,?,?,Female
Korashk,Anarchist,"Less than $25,000",in Women,"Friendship, Networking",Austin Private,Retail,Other,Single,Atheist,?,Some College,White,Male
Lovely_Action,?,?,?,?,?,?,?,?,?,?,?,?,?
sc239,?,?,?,?,?,?,?,?,?,?,?,?,?
unbelievableexsistence,?,?,?,?,?,?,?,?,?,?,?,?,?
Ziggystardust,?,?,?,?,?,?,?,?,?,?,?,?,Male
HetaLoid3311nuuu,?,?,?,?,?,?,?,?,?,?,?,?,Female
ssssuuussssaaannnn,?,Other,in Men,Friendship,?,Other,?,In a Relationship,Christian - Catholic,?,?,White,Female
Obsidian13,?,?,?,?,?,?,?,?,?,?,?,?,?
ashishmishra,?,?,?,?,?,?,?,?,?,?,?,?,?
xAubreexLyricx,Conservative,?,in Men,"Friendship, Networking",?,?,Other,In a Relationship,Christian - Baptist,?,?,White,Female
Everstart,?,?,?,?,?,?,?,?,?,?,?,?,?
MrCurtisLoew1,?,?,?,?,?,?,?,?,?,?,?,?,?
AlphaMike,?,?,?,?,?,?,?,?,?,?,?,?,?
WWJD1245,?,?,?,?,?,?,?,?,?,?,?,?,?
MasterLucario,?,?,?,?,?,?,?,?,Christian - Catholic,?,?,White,?
NiqashMotawadi3,Undecided,?,in Women,?,Hillel Private,?,Undecided,?,Agnostic,1992,Bachelors Degree,Middle Eastern,Male
MasterDebaterUSA,?,?,?,?,?,?,?,?,?,?,?,?,?
EberleCJ,?,?,?,?,?,?,?,?,?,?,?,?,?
FranzPanz,Progressive,?,in Women,?,?,Military,Democratic Socialists Party,Married,Jewish - Conservative,?,Graduate Degree,White,?
roblinb,?,?,?,?,?,?,?,?,?,?,?,?,?
Biscuithime,?,?,?,?,?,?,?,?,?,?,?,?,?
alskdjfhg,?,?,?,?,?,?,?,?,?,?,?,?,Female
alifowler,?,?,?,?,?,?,?,?,?,?,?,?,?
countdooku,?,?,?,?,?,?,?,?,?,?,?,?,?
Libertarian2016,?,?,?,?,?,?,?,?,?,?,?,?,?
Paul23,?,?,?,?,?,?,?,?,?,?,?,?,?
Fletch290,?,?,?,?,?,?,?,?,Christian,?,?,?,Male
Fox_468,Undecided,?,?,?,?,?,?,?,Agnostic,?,?,?,?
Duke_Valentino,?,?,?,?,?,?,?,?,?,?,?,?,?
Molotv,?,?,?,?,?,?,?,?,Secular,?,?,White,?
Australianboy,?,?,?,?,?,?,?,?,?,?,?,?,?
IslamAhmadiyya,?,?,?,?, Private,Student,?,?,Muslim,?,Some College,Middle Eastern,?
pattydickerson,?,?,?,?,?,?,?,?,?,?,?,?,?
BaconKillerJerry,Green,?,?,?,?,?,Independent,?,?,?,?,?,Male
LittleBallofHATE,?,?,?,?,?,?,?,?,?,?,?,?,?
flower123,?,?,?,?,?,?,?,?,?,?,?,?,?
keeli.jordan32,?,?,?,?,?,?,?,?,?,?,?,?,?
Zlehn,Moderate,?,?,?,?,?,Democratic Party,?,Christian - Catholic,?,High School,White,Male
Gaben11,Liberal,?,?,?,?,Student,Democratic Party,?,Atheist,?,?,White,?
odi,?,?,?,?,?,?,?,?,?,?,?,?,?
Juris_Naturalis,?,?,?,?,?,?,?,?,?,?,?,?,?
Jockey112,?,?,?,?,?,?,?,?,?,?,?,?,?
Vilhelmo,?,?,?,?,?,?,?,?,?,?,?,?,Male
DavidKaizer,?,?,?,?,?,?,?,?,?,?,?,?,Male
Sean.Morrow16,?,?,?,?,?,?,?,?,?,?,?,?,Male
StatsAndFacts,?,?,?,?,?,?,?,?,?,?,?,?,?
JiffyCones,?,?,?,?,?,?,?,?,?,?,?,?,?
waverider,?,?,?,?,?,?,?,?,?,?,?,?,Male
jmjoker,?,?,?,?,?,?,?,?,?,?,?,?,Male
Greematthew,Progressive,?,?,?,?,Student,Democratic Party,In a Relationship,Christian - Greek Orthodox,?,Some College,White,Male
christysb,?,?,?,?,?,?,?,?,?,?,?,?,?
NicholasJJGDrake,?,?,?,?,?,?,?,?,?,?,?,?,?
MrTOUrgeRawks,?,?,?,?,?,?,?,?,?,?,?,?,Male
Gizmo2,?,?,?,?,?,?,?,?,?,?,?,?,?
Antiphone,Conservative,?,?,?,?,?,Other,?,?,?,?,?,?
eb101010,?,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
sixtoes,?,?,?,?,?,?,?,?,?,?,?,?,?
Black_Cap,?,?,?,?,?,?,?,?,Atheist,?,Bachelors Degree,White,?
Llewellleo,?,?,?,?,?,?,?,?,?,?,?,?,Male
cathleeeeeene,?,?,?,?,?,?,?,?,?,?,?,?,?
timnbern,?,?,?,?,?,?,?,?,?,?,?,?,?
spolcys,?,?,?,?,?,?,?,?,?,?,?,?,?
Beverlee,Liberal,"Less than $25,000",in Women,Friendship,?,Hospitality,?,In a Relationship,Daoist,?,High School,White,Female
BGood,?,?,?,?,?,?,?,?,?,?,?,?,?
theobjectiveobjective,?,?,?,?,?,Financial Services,?,?,?,?,Graduate Degree,?,?
ovx23,?,?,?,?,?,?,?,?,?,?,?,?,?
Chewyfofewy,Libertarian,?,?,Networking,?,?,Undecided,In a Relationship,Atheist,?,Other,White,?
TrevWatlington,Libertarian,?,?,?,?,?,Republican Party,?,?,?,?,?,Male
Dustinred,?,?,?,?,?,?,?,?,?,?,?,?,?
Frank_Blascovic,Undecided,?,in Women,Friendship,?,Student,Undecided,Single,Atheist,?,High School,White,?
Agnosticgirl,Liberal,?,?,Networking,?,Student,Democratic Party,?,Agnostic,?,?,Other,Female
Achtung_Etc,?,?,?,?,?,?,?,?,?,?,?,?,?
jasonoverstreet,?,?,?,?,?,?,?,?,?,?,?,?,?
Obumer-lies420,?,?,in Women,?,?,Student,?,?,?,?,?,White,Male
caizen,?,?,?,?,?,?,?,?,?,?,?,?,?
The_Master_Debator,?,?,?,?,?,?,?,?,?,?,?,?,?
Straussd,?,?,?,?,?,?,?,?,?,?,?,?,?
Rightwing15,Conservative,Other,in Women,?,?,Medical,Republican Party,In a Relationship,Christian,?,Some College,White,?
SitaraForGod,?,?,?,?,?,?,?,?,?,?,?,?,?
supersquirel500,?,?,?,?,?,?,?,?,?,?,?,?,?
ng166,?,?,?,?,?,?,?,?,?,?,?,?,?
alc95,Communist,?,?,?,?,?,Undecided,?,?,?,?,?,?
Ludivine,?,?,?,?,?,?,?,?,?,?,?,?,Female
ContemplatingHumanity,?,?,?,?,?,?,?,?,?,?,?,?,?
christianmoore16,?,?,?,?,?,?,?,?,?,?,?,?,?
kaatihan,?,?,?,?,?,?,?,?,?,?,?,?,?
edga101,?,?,?,?,?,?,?,?,?,?,?,?,?
Donn64,?,?,?,?,?,?,?,?,?,?,?,?,?
SirRoland,?,?,?,?,?,?,?,?,?,?,?,?,?
Gaswindowtone,?,?,?,?,?,?,?,?,?,?,?,?,?
itwazallforthelolz,?,?,?,?,?,?,?,?,?,?,?,?,?
Msyru,Anarchist,"Less than $25,000",in Men and Women,Friendship,?,Teacher,Other,Other,Atheist,?,?,White,?
angelalang24,?,?,?,?,?,?,?,?,?,?,?,?,Female
Mritter22,?,?,?,?,?,?,?,?,?,?,?,?,?
Deimos,?,?,?,?,?,?,?,?,?,?,?,?,?
ThierryAyi,?,?,?,?,?,Student,?,?,Christian,?,?,Black,?
AnthrophobicComputer,?,?,?,?,?,Student,?,?,Agnostic,?,High School,Asian,?
howtotommy,?,?,?,?,?,?,?,?,?,?,?,?,?
lajsc,?,?,?,?,?,?,?,?,?,?,?,?,?
SheridanB,?,?,?,?,?,?,?,?,?,?,?,?,?
Svalenti,?,?,in Men,?,?,Student,?,?,Christian - Catholic,?,?,?,Female
Yukyung,?,?,?,?,?,?,?,?,?,?,?,?,?
ConcernedAmerican241,?,?,?,?,?,?,?,?,?,?,?,?,?
Hawkaye,?,?,?,?,?,Student,?,?,Christian - Assemblies of God,?,?,White,?
angeliquenicole,?,?,?,?,?,?,?,?,?,?,?,?,?
emjones91,?,?,?,?,?,?,?,?,?,?,?,?,?
KB240o,Undecided,?,in Women,"Friendship, Networking",?,Student,Undecided,Single,Christian - Catholic,?,Some College,Latino,?
sports89man7,?,?,?,?,?,?,?,?,?,?,?,?,Male
PepperButler,Libertarian,"Less than $25,000",in Women,?,?,Student,Democratic Party,?,Christian,?,High School,Latino,?
Colbie2,?,?,?,?,?,?,?,?,?,?,?,?,?
helena_ye,?,?,?,?,?,?,?,?,?,?,?,?,?
tomscanlon1976,?,?,?,?,?,?,?,?,?,?,?,?,?
yobarnacle,?,?,?,?,?,?,?,?,?,?,?,?,?
Themoralessmonster,?,?,?,?,?,?,?,?,?,?,?,?,?
margbostic,?,?,?,?,?,?,?,?,?,?,?,?,?
docpony,Conservative,?,?,?,?,?,Republican Party,?,Christian - Baptist,?,?,White,?
Perfectlocke,Undecided,"$25,000 to $35,000",?,?,?,Self-Employed,Undecided,?,Agnostic,?,?,White,?
enehou,?,?,?,?,?,?,?,?,?,?,?,?,?
HoorAmjad,?,?,?,?,?,?,?,?,?,?,?,?,?
brett.schlappich,?,?,?,?,?,?,?,?,?,?,?,?,?
Shadow_Panda,?,?,?,?,?,?,?,?,?,?,?,?,?
Sunfire315,Conservative,?,?,?,?,?,Republican Party,In a Relationship,Christian - Catholic,?,?,White,Male
AlexFreeman,Apathetic,Other,in Women,"Friendship, Dating, A Relationship, Networking",?,Student,Undecided,Single,Atheist,?,Some College,White,?
Clarity,?,?,?,?,?,?,?,?,?,?,?,?,?
Tajbonvie,?,?,?,?,?,?,?,?,?,?,?,?,?
arcticfoxes,Moderate,?,?,?,?,?,?,?,Christian,?,Some College,Asian,?
Slippery-slope,?,?,?,?,?,?,?,?,?,?,?,?,?
Regina,?,?,?,?,?,?,?,?,?,?,?,?,?
csanonymous,?,?,?,?,?,?,?,?,?,?,?,?,?
peregrine22,?,?,in Men,Friendship,?,?,?,Single,?,?,?,?,?
Conner_Espinoza,?,?,?,?,?,?,?,?,Christian - Seventh-Day Adventist,?,?,Latino,?
kalyann68,?,?,?,?,?,?,?,?,?,?,?,?,?
WisdomOnline,Conservative,?,in Women,?,?,?,Republican Party,Single,Christian,?,?,White,Male
leonapitej,?,?,?,?,?,?,?,?,?,?,?,?,Female
ana123,?,?,?,?,?,?,?,?,?,?,?,?,?
FredLocke12,?,?,?,?,?,?,?,?,?,?,?,?,?
Grayscale,?,?,?,?,?,?,?,?,?,?,?,?,?
LayTheologian,?,?,?,?,?,?,?,?,?,?,?,?,?
heywassuphello,?,?,?,?,?,?,?,?,?,?,?,?,?
Zombie_Vampire_Nina,Conservative,?,in Men,?,?,?,Libertarian Party,Single,Christian - Baptist,?,High School,Latino,?
Petty102,Socialist,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
PrussianFrank,?,?,?,?,?,?,?,?,?,?,?,?,?
vivienne.foltz,?,?,?,?,?,?,?,?,?,?,?,?,?
logicaltheist,?,?,?,?,?,?,?,?,?,?,?,?,Male
JacobMcGlinchy,?,?,?,?,?,?,?,?,?,?,?,?,?
nemoalyshia,?,?,?,?,?,?,?,?,?,?,?,?,?
Debate2.0,?,?,?,?,?,?,?,?,?,?,?,?,?
Shadowlance,?,?,?,?,?,?,?,?,?,?,?,?,?
thatoneguythatexists,?,?,?,?,?,?,?,?,?,?,?,?,?
rjl2198,?,?,?,?,?,?,?,?,?,?,?,?,?
crf94,?,?,?,?,?,?,?,?,?,?,?,?,?
AmphoePai,?,?,?,?,?,?,?,?,?,?,?,?,?
Donzo,?,?,?,?,?,?,?,?,?,?,?,?,?
Rezend,?,?,?,?,?,?,?,?,Agnostic,?,?,?,?
gray28,?,?,?,?,?,?,?,?,?,?,?,?,?
John_Marshall,Socialist,?,?,"Friendship, Networking",?,Technical,?,?,Atheist,?,?,White,?
arkay2,?,?,?,?,?,?,?,?,?,?,?,?,?
genniestar211,?,?,?,?,?,?,?,?,?,?,?,?,?
politicallycorrectkid,?,?,?,?,?,?,?,?,?,?,?,?,?
Blockeus,?,?,?,?,?,?,?,?,?,?,?,?,?
jackjellydonut,?,?,?,?,?,?,?,?,?,?,?,?,?
Network,Socialist,?,in Women,Networking,?,?,?,Single,Christian,?,?,White,?
Normerican,?,?,?,?,?,?,?,?,?,?,?,?,?
secret_strategem,?,"Less than $25,000",?,?,?,Student,?,?,Christian - Seventh-Day Adventist,?,High School,White,?
BlueUpQuark,Communist,?,in Women,?,?,?,Party for Socialism and Liberation,Single,Atheist,?,High School,White,?
kmurray,?,?,?,?,?,?,?,?,?,?,?,?,Male
JDOGMONEY,Anarchist,Other,in Men and Women,"Friendship, Dating, A Relationship, Networking",?,Other,The Revolution,Other,Pastafarian,?,Other,Other,?
RussianAmerican,?,?,?,?,?,?,?,?,?,?,?,?,Male
Katarineisenstein,?,?,?,?,?,?,?,?,?,?,?,?,?
ElephantGirl,Conservative,?,?,?,?,?,?,?,Christian - Catholic,?,?,?,Female
menacto,?,?,?,?,?,?,?,?,?,?,?,?,Male
ithinkyourallcool,Undecided,?,?,?,?,?,Marijuana Party,?,?,?,High School,?,?
Kreakin,?,?,?,?,?,?,?,?,?,?,?,?,?
thebomist,Liberal,"$50,000 to $75,000",?,?,?,Student,Undecided,?,Atheist,?,?,Asian,Male
Irish99man,?,?,in Women,Friendship,?,?,?,Single,?,?,?,?,?
datboiCesar,?,?,in Women,?,?,?,?,Single,Christian - Catholic,?,?,Latino,Male
gautam123,?,?,?,?,?,?,?,?,?,?,?,?,?
debatergonwild,?,?,?,?,?,?,?,?,?,?,?,?,?
catherinethegreat,?,?,?,?,?,?,?,?,?,?,?,?,?
evanallred123,Libertarian,?,in Women,Friendship,?,?,Libertarian Party,?,Christian - Latter-Day Saints,?,High School,White,Male
ShanerM000,?,?,?,?,?,?,?,?,?,?,?,?,?
Tobellicus,?,?,?,?,?,?,?,?,?,?,?,?,?
Adventurenatus,?,?,?,?,?,?,?,?,?,?,?,?,?
Seanburns,?,?,?,?,?,?,?,?,?,?,?,?,?
XOXX,?,?,?,?,?,?,?,?,?,?,?,?,Female
MSCHULTZ1998,Conservative,?,in Women,?,?,Student,Republican Party,Single,Christian - Pentecostal,?,?,White,?
WildAnimal,?,?,?,?,?,?,?,?,?,?,?,?,?
AdoAnnie,?,?,?,?,?,?,?,?,?,?,?,?,?
Alija_Majzner,Conservative,?,?,?,?,?,?,?,Christian - Latter-Day Saints,?,?,White,?
cadams16,?,?,?,?,?,?,?,?,?,?,?,?,Male
Miles2e,?,?,?,?,?,?,?,?,?,?,?,?,?
phil_uk,?,?,?,?,?,?,?,?,?,?,?,?,Male
jgunther959,?,?,?,?,?,?,?,?,?,?,?,?,Female
kimberly.turner794,Other,Other,in Men,"Friendship, Dating, A Relationship, Networking",?,Student,Republican Party,Single,Christian - Baptist,?,Some College,White,Female
O.John,?,?,?,?,?,?,?,?,?,?,?,?,?
Moulder,Moderate,Other,in Men,Friendship,?,Student,Modern Whig Party,Single,Atheist,?,?,White,?
MapleJadon,?,?,?,?,?,?,?,?,?,?,?,?,Male
ajawed3333,?,?,?,?,?,?,?,?,Muslim - Sunni,?,?,White,?
TheSilentHorseman,Liberal,"Less than $25,000",in Men,"Friendship, A Relationship",?,Sales,Independent,In an Open Relationship,Agnostic,?,High School,Latino,?
Man-is-good,?,?,?,"Friendship, Networking",?,?,?,?,Other,?,High School,?,Male
TheGraetdebater,?,?,?,?,?,?,?,?,?,?,?,?,?
gpotekar,?,?,?,?,?,?,?,?,?,?,?,?,?
mariehamac,?,?,?,?,?,Student,?,?,Muslim,?,?,Black,?
CaraKamski,?,?,?,?,?,?,?,?,?,?,?,?,?
KGee1987,?,?,?,?,?,?,?,?,?,?,?,?,?
robertG,?,?,?,?,?,?,?,?,?,?,?,?,?
destiny_123,?,?,?,?,?,?,?,?,?,?,?,?,?
Jo2599,Moderate,?,?,?,?,Student,Independent,?,Agnostic,?,?,Asian,?
Neisha263,?,?,?,?,?,?,?,?,?,?,?,?,?
Panzerman,Communist,?,in Women,?,?,?,?,In a Relationship,?,?,Bachelors Degree,?,?
Plubius,Liberal,"Less than $25,000",in Women,"Friendship, Dating, A Relationship",?,Student,Democratic Party,Single,Christian,2000,High School,Asian,Male
Praeiaotic,?,?,?,?,?,?,?,?,?,?,?,?,?
Doubleslitexperiment,?,?,?,?,?,?,?,?,?,?,?,?,?
devonthepilot,?,?,?,?,?,?,?,?,?,?,?,?,?
Stupidape,Moderate,?,?,?,?,?,Independent,?,Atheist,?,?,?,?
bethanex,?,?,?,?,?,?,?,?,?,?,?,?,?
JLO1999,?,?,?,?,?,?,?,?,?,?,?,?,?
Patss,?,?,?,?,?,?,?,?,?,?,?,?,?
TheLegion,Liberal,?,?,?,?,Student,?,?,?,?,High School,Asian,?
maasand,?,?,?,?,?,?,?,?,?,?,?,?,?
Matt_L,Other,Other,?,?,?,Teacher,Undecided,Married,Christian,?,Some College,White,Male
Electra,?,?,?,?,?,?,?,?,?,?,?,?,?
yooyoo25,?,?,?,?,?,?,?,?,?,?,?,?,Female
NTucke,Socialist,?,in Men,?,?,?,Socialist Equality Party,?,?,?,?,?,Male
Kakashecchi,?,?,?,?,?,?,?,?,?,?,?,?,?
TiggerAndWolf,?,?,?,?,?,?,?,?,?,?,?,?,Female
Charos,?,?,in Women,?,?,?,?,Single,?,?,?,?,?
Nicolas.Price,?,?,?,?,?,?,?,?,?,?,?,?,?
radioandy,?,?,?,?,?,?,?,?,?,?,?,?,?
Solar46,?,?,?,?,?,?,?,?,?,?,?,?,?
enki15,?,?,?,?,?,?,?,?,?,?,?,?,?
melodymayhem,Undecided,Other,in Men and Women,"Friendship, Dating, A Relationship, Networking",?,Other,?,Single,Other,?,?,White,Genderqueer
anna_denise,?,Other,in Men,Friendship, Private,Other,?,?,Christian - Church of Christ,2002,?,White,Female
ryan533,?,?,?,?,?,?,?,?,?,?,?,?,?
Webbo,?,"Less than $25,000",?,?,?,Other,?,?,Atheist,?,?,White,?
Destinee.Deesing,?,?,?,?,?,?,?,?,?,?,?,?,Female
NikiAnarchy,?,?,?,?,?,?,?,?,?,?,?,?,?
OutofLeftField,Liberal,Other,in Women,?,?,Student,Democratic Party,In a Relationship,Other,?,High School,White,?
LourdesO,?,?,?,?,?,?,?,?,?,?,?,?,?
wondimu,?,?,?,?,?,?,?,?,?,?,?,?,Male
tameka.wallace,?,?,?,?,?,?,?,?,?,?,?,?,Female
willbertbot,?,?,?,?,?,?,?,?,?,?,?,?,?
NetKate,?,?,?,?,?,?,?,?,?,?,?,?,?
Lyksina,?,?,?,?,?,?,?,?,?,?,?,?,?
Jacketh,?,?,?,?,?,?,?,?,?,?,?,?,?
BA_BA_BA,Conservative,?,?,Friendship,?,?,Republican Party,Single,Christian - Catholic,?,?,?,Male
ben10kangas,Conservative,?,?,?, Private,?,?,?,?,?,High School,?,Male
wiploc,?,?,?,?,?,?,?,?,?,?,?,?,?
HollieeWeg,?,?,?,?,?,?,?,?,?,?,?,?,?
TomBrown2013,?,?,in Women,"Friendship, Networking",?,Student,?,Single,Other,?,High School,White,?
DebatingPerson911,?,?,in Women,Friendship, Private,?,Democratic Party,?,Christian - Presbytarian,?,?,?,?
STA_Cadet,Other,?,in Women,?,?,?,Other,Single,?,?,?,?,Male
Soldiercide,Other,?,?,?,?,?,Other,Married,?,?,?,?,Male
travis.calm,?,?,?,?,?,?,?,?,?,?,?,?,?
iggy1993,?,?,?,?,?,Student,?,?,Atheist,?,?,White,?
ajers1000,?,?,?,?,?,?,?,?,?,?,?,?,?
LiberalActivist,Liberal,?,in Women,"Friendship, Dating, A Relationship, Networking",?,?,Democratic Socialists Party,?,Other,?,?,White,?
Shawner,?,?,?,?,?,?,?,?,?,?,?,?,Male
warriorcat227,?,?,?,?,?,?,?,?,?,?,?,?,?
Parneboy,?,?,?,?,?,?,?,?,?,?,?,?,?
WilliamsP,Socialist,?,in Men and Women,"Friendship, Networking",?,Other,Green Party,?,Deism,?,High School,Other,Male
shelovespiano,?,?,?,?,?,?,?,?,?,?,?,?,?
Pomagranite,?,"Less than $25,000",?,?,?,Student,?,Single,Deism,?,?,White,?
Ticawa,?,?,?,?,?,?,?,?,?,?,?,?,?
SmellTheGlove,?,?,?,?,?,?,?,?,?,?,?,?,?
Militaryharry,?,?,?,?,?,?,?,?,?,?,?,?,?
GeneticModification,?,?,?,?,?,?,?,?,?,?,?,?,?
PsychicPhysicist,Labor,Other,in Men and Women,?, Private,Student,Labor Party,Single,Atheist,?,Bachelors Degree,White,Transgender Female
TN05,Liberal,?,?,?,?,?,Other,?,Christian,1994,Associates Degree,White,Male
muirshane,?,?,?,?,?,?,?,?,?,?,?,?,?
Brooke5,?,?,?,?,?,?,?,?,?,?,?,?,?
juliadawn,?,?,?,?,?,?,?,?,?,?,?,?,?
lolking78,Conservative,"Less than $25,000",in Men and Women,"Friendship, Dating, A Relationship, Networking",patrick townsend,Student,Other,Single,Atheist,2000,Some College,White,Agender
toby88,?,?,?,?,?,?,?,?,?,?,?,?,?
Jeeves1967,?,?,?,?,?,?,?,?,?,?,?,?,?
DHerman,?,?,?,?,?,?,?,?,?,?,?,?,?
builder_chris,?,?,?,?,?,?,?,?,?,?,?,?,?
Volcanoes13,Conservative,?,in Women,?,?,?,?,Single,Christian - Baptist,?,?,White,Male
Woojnwot,?,?,?,?,?,?,?,?,?,?,?,?,?
semclaw,?,?,?,?,?,?,?,?,?,?,?,?,Female
AlfredLCharles666,?,?,?,?,?,?,?,?,?,?,?,?,?
Unapologetic_Apologetic,Conservative,?,in Women,"Friendship, Dating",?,Retail,Independent,Single,Christian - Latter-Day Saints,?,Some College,White,Male
1Devilsadvocate,Undecided,?,?,?,?,?,Undecided,?,Agnostic,?,Some College,White,?
Ryan_C,Libertarian,?,?,?,?,?,Libertarian Party,?,?,?,?,?,?
4saken,?,?,in Women,"Friendship, Dating, A Relationship, Networking",?,Technical,?,Single,Atheist,?,Bachelors Degree,Asian,?
KHowell83,?,?,?,?,?,?,?,?,?,?,?,?,?
April_209,?,?,?,?,?,?,?,?,?,?,?,?,?
EndarkenedRationalist,?,?,?,?,?,?,?,?,?,?,?,?,?
juster04,Conservative,?,in Women,?,?,?,Republican Party,?,Agnostic,?,High School,White,?
MitchP8194days,?,?,?,?,?,?,?,?,?,?,?,?,?
Krolshi,?,?,?,?,?,?,?,?,?,?,?,?,?
alevan,Liberal,?,in Women,Friendship,?,?,Independent,Single,?,?,?,?,?
cavscout1739,?,?,?,?,?,?,?,?,?,?,?,?,?
oilythigh,?,?,?,?,?,?,?,?,?,?,?,?,?
Jsho83,?,?,?,?,?,?,?,?,?,?,?,?,Male
xxUSMCxx,?,?,in Women,"Friendship, Dating",?,?,?,Single,Christian - Catholic,?,High School,?,?
Williamcrdv,?,?,?,?,?,?,?,?,?,?,?,?,?
RyanLHunt,?,?,?,?,?,?,?,?,?,?,?,?,?
Republican,Conservative,"More than $150,000",?,?,?,Military,Republican Party,?,Christian - Church of Christ,?,?,White,?
zookdook1,Conservative,?,?,?,?,?,?,?,?,?,?,?,?
Volkskorps,?,?,?,?,?,?,?,?,?,?,?,?,?
bridget.kurtz,?,?,?,?,?,?,?,?,?,?,?,?,Female
Peachman2000,?,?,?,?,?,?,?,?,?,?,?,?,?
DeathByTurtle,?,?,?,?,?,?,?,?,?,?,?,?,Female
lawbringersr2,?,?,?,?,?,?,?,?,?,?,?,?,Female
andrew30126b,?,?,?,?,?,?,?,?,?,?,?,?,?
UnitedStatesOfAmerica,?,?,?,?,?,?,?,?,?,?,?,?,Male
Heping,?,?,?,?,?,?,?,?,?,?,?,?,Male
Hweswen,?,?,?,?,?,?,?,?,?,?,?,?,?
SatanicArchAngel,Anarchist,?,in Women,A Relationship,?,?,?,Single,Agnostic,?,?,White,Male
jjones,?,?,?,?,?,?,?,?,?,?,?,?,?
Het,?,?,?,?,?,?,?,?,?,?,?,?,?
Chrisy,Liberal,?,in Men,?,?,Administrative,Democratic Party,It's Complicated,Christian - Catholic,?,Bachelors Degree,Other,?
Pigzooka,?,?,?,?,?,?,?,?,?,?,?,?,?
cherries1787,?,?,?,?,?,?,?,?,?,?,?,?,?
